study	sample_id	group	Adora2a	unit_status	source_evidence
GSE130400	GSM3737534	OIR	0.6730489	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737535	OIR	1.0614595	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737536	OIR	1.1071101	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737537	OIR	1.0271654	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737538	normoxia	1.1330723	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737539	normoxia	-0.73132706	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737540	normoxia	-0.51986176	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737541	normoxia	0.18584785	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737542	normoxia	-0.2755612	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737543	normoxia	0.77502453	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737544	normoxia	0.3152571	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737545	normoxia	0.029787494	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737546	normoxia	1.2870194	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737547	normoxia	0.58992666	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737548	normoxia	0.4623103	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737549	normoxia	0.6072956	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE132731	nonOIR_1	Normoxia	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	nonOIR_2	Normoxia	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	nonOIR_3	Normoxia	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	nonOIR_4	Normoxia	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	nonOIR_5	Normoxia	-2.96204400242385	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	nonOIR_6	Normoxia	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	nonOIR_7	Normoxia	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	nonOIR_8	Normoxia	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	OIR_1	OIR	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	OIR_2	OIR	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	OIR_3	OIR	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	OIR_4	OIR	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	OIR_5	OIR	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	OIR_6	OIR	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	OIR_7	OIR	-3.13048693745631	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE132731	OIR_8	OIR	-5.56781953183924	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz
GSE135844	GSM4035321	Normoxia	7.58738	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE135844_series_matrix.txt.gz
GSE135844	GSM4035322	Normoxia	7.39927	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE135844_series_matrix.txt.gz
GSE135844	GSM4035323	Normoxia	8.08979	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE135844_series_matrix.txt.gz
GSE135844	GSM4035318	OIR	7.89785	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE135844_series_matrix.txt.gz
GSE135844	GSM4035319	OIR	7.6057	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE135844_series_matrix.txt.gz
GSE135844	GSM4035320	OIR	7.58546	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE135844_series_matrix.txt.gz
GSE158799	GSM4810567	Normoxia	1.65177773377809	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSM4810567_Control_retina_P17_1_reads.xlsx
GSE158799	GSM4810568	Normoxia	2.12291918795701	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSM4810568_Control_retina_P17_2_reads.xlsx
GSE158799	GSM4810569	Normoxia	1.75506790980125	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSM4810569_Control_retina_P17_3_reads.xlsx
GSE158799	GSM4810570	OIR	2.51100849114425	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSM4810570_OIR_retina_P17_1_reads.xlsx
GSE158799	GSM4810571	OIR	2.53976900459717	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSM4810571_OIR_retina_P17_2_reads.xlsx
GSE158799	GSM4810572	OIR	2.49988557065861	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSM4810572_OIR_retina_P17_3_reads.xlsx
GSE194176	T07	OIR_WT	1.29250260489776	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Zou et al.; GEO-linked PMID 35816041 (and linked follow-up PMID 39948347)
GSE194176	T08	OIR_WT	0.831467879189177	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Zou et al.; GEO-linked PMID 35816041 (and linked follow-up PMID 39948347)
GSE194176	T09	OIR_WT	1.05896686069043	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Zou et al.; GEO-linked PMID 35816041 (and linked follow-up PMID 39948347)
GSE194176	T01	normoxia_WT	1.02897008083902	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Zou et al.; GEO-linked PMID 35816041 (and linked follow-up PMID 39948347)
GSE194176	T02	normoxia_WT	0.914036331549349	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Zou et al.; GEO-linked PMID 35816041 (and linked follow-up PMID 39948347)
GSE194176	T03	normoxia_WT	0.948022906220909	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Zou et al.; GEO-linked PMID 35816041 (and linked follow-up PMID 39948347)
GSE216676	GSM6685631	Normoxia	3.97759828008154	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE216676.tsv.gz
GSE216676	GSM6685632	Normoxia	4.25935773751639	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE216676.tsv.gz
GSE216676	GSM6685629	OIR	5.19429834719421	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE216676.tsv.gz
GSE216676	GSM6685633	OIR	3.42129797301644	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE216676.tsv.gz
GSE216676	GSM6685635	OIR	4.34781406902899	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE216676.tsv.gz
GSE230668	GSM7230931	Normoxia	6.572715	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE230668_series_matrix.txt.gz
GSE230668	GSM7230933	Normoxia	6.854839	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE230668_series_matrix.txt.gz
GSE230668	GSM7230932	OIR	6.883764	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE230668_series_matrix.txt.gz
GSE230668	GSM7230934	OIR	6.820788	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE230668_series_matrix.txt.gz
GSE234447	OIR_p17_S1	OIR	6.21165510223716	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	OIR_p17_S2	OIR	6.63025255433099	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	OIR_p17_S3	OIR	7.04120185806998	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	OIR_p17_S4	OIR	6.31114597894073	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	OIR_p17_S5	OIR	6.38726398979442	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	OIR_p17_S6	OIR	6.88586174407772	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	OIR_p17_S7	OIR	6.76708411151129	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	OIR_p17_S8	OIR	6.622158764634	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	nOIR_p17_S1	normoxia	5.27994185257133	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	nOIR_p17_S2	normoxia	5.70070985852595	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	nOIR_p17_S3	normoxia	4.94335349043842	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	nOIR_p17_S4	normoxia	5.49537672420323	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	nOIR_p17_S5	normoxia	5.70109177396851	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE234447	nOIR_p17_S6	normoxia	5.40709858159023	ANIMAL_LEVEL_UNIT_RECOVERABLE	official GEO family SOFT and series/sample protocol; Pauleikhoff et al. Transcriptional Comparison of Human and Murine Retinal Neovascularization; PMID 38153746
GSE241239	C57.OIR.1_COUNT	OIR	2.46255126620867	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.OIR.2_COUNT	OIR	2.39703895590073	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.OIR.3_COUNT	OIR	2.24807884386494	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.OIR.4_COUNT	OIR	3.11043514617864	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.OIR.5_COUNT	OIR	2.94839670990974	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.OIR.6_COUNT	OIR	2.54070424849553	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.Con.1_COUNT	normoxia	0.994479758233209	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.Con.2_COUNT	normoxia	1.27903239382789	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.Con.3_COUNT	normoxia	1.51063697520393	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.Con.4_COUNT	normoxia	1.98058054869929	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.Con.5_COUNT	normoxia	1.99462774770971	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE241239	C57.Con.6_COUNT	normoxia	1.54308560844854	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE289223	OIRp17_1	OIR	2.65706281795019	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Liu et al. Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis; PMID 40042877
GSE289223	OIRp17_2	OIR	2.42373266800023	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Liu et al. Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis; PMID 40042877
GSE289223	OIRp17_3	OIR	2.59018363184226	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Liu et al. Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis; PMID 40042877
GSE289223	p17_1	normoxia	1.58567720115716	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Liu et al. Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis; PMID 40042877
GSE289223	p17_2	normoxia	1.06193164547152	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Liu et al. Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis; PMID 40042877
GSE289223	p17_3	normoxia	0.629761964245264	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Liu et al. Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis; PMID 40042877
GSE301407	OIR-1A	OIR	1.34059802804736	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLES_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; Injectable Multifunctional Hydrogel with Sustained Release of procyanidin C1 for Selective Senolysis to Remodel Ocular Fundus Neovascularization; no linked PubMed ID in GEO
