accession	publication	platform	retinal_tissue_or_compartment	age	OIR_definition	control_definition	treatment_control_arm_status	sample_ID	group	animal_ID	eye_laterality	pooling	technical_replicate_ID	recoverability_evidence	unit_status	primary_action	source_evidence	Adora2a_expression_used_pre_audit
GSE124956	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	author_normalized_log	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	SAMPLE 12	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz	7.301841212
GSE124956	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	author_normalized_log	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	SAMPLE 13	OIR	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz	7.271576852
GSE124956	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	author_normalized_log	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	SAMPLE 14	OIR	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz	7.343933102
GSE124956	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	author_normalized_log	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	SAMPLE 15	OIR	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz	7.425655759
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737525	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	-0.22491452
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737526	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	-0.032981005
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737527	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	-0.37576008
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737528	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.5597466
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737529	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	1.395425
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737530	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.9023248
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737531	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	1.7356495
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737532	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	1.5723772
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737533	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.77974945
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737534	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.6730489
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737535	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	1.0614595
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737536	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	1.1071101
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737537	OIR	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	1.0271654
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737538	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	1.1330723
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737539	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	-0.73132706
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737540	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	-0.51986176
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737541	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.18584785
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737542	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	-0.2755612
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737543	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.77502453
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737544	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.3152571
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737545	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.029787494
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737546	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	1.2870194
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737547	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.58992666
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737548	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.4623103
GSE130400	No linked publication in the GEO series record	GPL10787	whole retina / deposited retinal sample	P17	75% oxygen from P7 to P12; P17 after return to room air	P17 normoxia	untreated OIR versus untreated normoxia	GSM3737549	normoxia	not deposited	not deposited	not reported	none identified	GEO titles identify unique deposited retinas, but GEO/source fields do not provide animal ID, eye laterality, pooling, or bilateral-eye mapping	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record	0.6072956
GSE132731	Temporo-spatial distribution and transcriptional profile of retinal microglia in the oxygen-induced retinopathy mouse model	raw_counts	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	nonOIR_1	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz	-5.56781953183924
GSE132731	Temporo-spatial distribution and transcriptional profile of retinal microglia in the oxygen-induced retinopathy mouse model	raw_counts	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	nonOIR_2	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz	-5.56781953183924
GSE132731	Temporo-spatial distribution and transcriptional profile of retinal microglia in the oxygen-induced retinopathy mouse model	raw_counts	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	nonOIR_3	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz	-5.56781953183924
GSE132731	Temporo-spatial distribution and transcriptional profile of retinal microglia in the oxygen-induced retinopathy mouse model	raw_counts	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	nonOIR_4	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE132731_data.csv.gz	-5.56781953183924
