source	record_id	title	decision	exclusion_reason	eligibility_basis	n_deposited_samples_total	source_evidence
GEO	GSE227861	Single-cell RNAseq analysis of wild type and Socs3 cKO retinal immune cells	EXCLUDE	P13 collection; not P17		3	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227861
GEO	GSE230668	Effects of inhibitors in mice with oxygen-induced retinopathy	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	10	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230668
GEO	GSE234447	Transcriptional Comparison of Human and Murine Retinal Neovascularization	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	27	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234447
GEO	GSE241239	RNA-sequencing of the oxygen induced retinopathy (OIR) model in C57BL/6 mice	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	12	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241239
GEO	GSE245456	CUT&Tag of oxygen-induced retinopathy mouse retina	EXCLUDE	CUT&Tag chromatin assay; not transcript abundance		40	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245456
GEO	GSE249919	Mechanism underlying long-term visual dysfunction in the mouse model of oxygen-induced retinopathy	EXCLUDE	one deposited P17 library per group, preventing study-level variance estimation		2	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249919
GEO	GSE259255	BGN stimulates retinal pathological angiogenesis via up-regulation of CXCL12 expression in pericytes (mouse)	EXCLUDE	unresolved biological-unit mapping together with an internally incongruent deposited extraction protocol		6	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE259255
GEO	GSE261490	A humanized therapeutic monoclonal anti-ASC antibody alleviates oxygen-induced retinopathy in mice	EXCLUDE	P18 collection; not P17		12	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261490
GEO	GSE262908	FOXC1 regulates endothelial CD98 (LAT1/4F2hc) expression in retinal angiogenesis and blood-retina barrier formation	EXCLUDE	P6 developmental endothelial comparison; not P17 OIR		6	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262908
GEO	GSE263978	mRNA expression profiles of oxygen-induced retinopathy (OIR) mouse retinas after knockdown treatment of lncRNA-MM2P	EXCLUDE	OIR intervention arms only; no normoxia comparator		8	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263978
GEO	GSE268420	Chronic intermittent hypoxia inhibits the revascularization of the ischemic retina and aggravates neurodegeneration and neovascularization	EXCLUDE	P18 OIR treatment-context comparison; no room-air comparator		6	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268420
GEO	GSE275394	Global Characterization of Functional Microglia Heterogeneity in Relation to Neovascularization and Regression Phases of Oxygen-Induced Retinopathy in Mice	EXCLUDE	one deposited library per P17 group, preventing study-level variance estimation		4	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275394
GEO	GSE279825	Monoclonal antibodies that block Roundabout 1 and 2 signaling target pathological ocular neovascularization through myeloid cells	EXCLUDE	one deposited library per relevant cell-type/treatment group, preventing study-level variance estimation		6	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279825
GEO	GSE281249	Deubiquitinase USP9X regulates Wnt-signaling to control CNS vascular formation and barrier maintenance	EXCLUDE	brain endothelial samples; not retinal OIR		8	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281249
GEO	GSE281854	Systems level analysis of lipid metabolism in oxygen-induced retinopathy [liver RNA-Seq]	EXCLUDE	liver tissue; not retinal tissue/compartment		15	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281854
GEO	GSE281855	Systems level analysis of lipid metabolism in oxygen-induced retinopathy [retina_RNAseq]	EXCLUDE	P12 hyperoxia comparison; not P17 OIR		16	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281855
GEO	GSE283276	Single-Cell Multiomics Profiling Reveals Heterogeneity of Müller Cells in the Oxygen-Induced Retinopathy Model	EXCLUDE	P17 OIR only; no normoxia comparator		2	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283276
GEO	GSE288833	Deletion of endothelial glycocalyx component endomucin impairs retinal vascularization and suppresses pathological neovascularization	EXCLUDE	OIR genotype comparison only; no normoxia comparator		6	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288833
GEO	GSE289223	Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	6	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289223
GEO	GSE292097	Targeting ATF6 Reduces Pathological Neovascularization and Improves Visual Outcomes in Retinal Disease Models	EXCLUDE	OIR genotype/treatment arms without a recoverable age-matched normoxia contrast		20	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292097
GEO	GSE301407	Injectable Multifunctional Hydrogel with Sustained Release of procyanidin C1 for Selective Senolysis to Remodel Ocular Fundus Neovascularization	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	9	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301407
GEO	GSE304959	RiboTag-based profiling of actively translating transcripts in Nrf2-deficient and wildtype Müller cells in a mouse model of oxygen-induced retinopathy	EXCLUDE	P14 OIR Müller-cell profiling; no P17 normoxia contrast		8	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304959
GEO	GSE315511	Attenuation of oxygen-induced neovascularization and inflammation by neutralizing antibody to VEGFA and/or ANG-2	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	40	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315511
GEO	GSE328096	Single-cell RNA sequencing reveals that Epac1 deletion attenuates Müller glial pathological activation in ischemia-induced retinopathy	EXCLUDE	one deposited WT P17 library per group, preventing study-level variance estimation		4	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328096
GEO	GSE38762	Gene Expression Profiling In Murine Retina Neovascularization Models	EXCLUDE	collections at P8, P12 and P13; no P17 contrast		15	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38762
GEO	GSE74170	Comparative Systems Pharmacology of HIF Stabilization in the Prevention of Retinopathy of Prematurity	EXCLUDE	pharmacologic HIF-stabilization study rather than an OIR-versus-normoxia contrast		36	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74170
