source	record_id	title	query_id	date_identified	duplicate_of	screening_stage	decision	exclusion_reason	linked_accession_or_bioproject	final_cohort	source_url
GEO	GSE174400	Single-cell RNAseq by Dropseq of retinal endothelial cells from WT and ENOS KO mouse	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P14 OIR only; no P17 contrast	GSE174400		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174400
GEO	GSE194176	Expression profiles of mRNAs in the retinas of OIR wildtype, OIR IL-19 knockout and room air control mice.	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE194176	GSE194176	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194176
GEO	GSE19886	Gene Expression Profile of Hyperoxic/hypoxic Retinas in Mouse Model of Oxygen-induced Retinopathy	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	collections at P8, P12 and P13; no P17 contrast	GSE19886		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19886
GEO	GSE199792	Single-cell Transcriptome Analyses Reveal Unique Microglia Types Associated with Retinal Pathological Angiogenesis	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	one deposited library per group, preventing study-level variance estimation	GSE199792		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199792
GEO	GSE200195	Transcriptome analysis of the oxygen induced retinopathy (OIR) model at 5 different timepoints	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	collections end at P16; no P17 contrast	GSE200195		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200195
GEO	GSE209654	Effect of Caspase1 deletion on oxygen-induced retinopathy in C57BL/6 mice	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	three days after hyperoxia withdrawal (P15), not P17	GSE209654		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE209654
GEO	GSE213362	Profiles of N6-methyladenosine modifications of circular RNAs in oxygen-induced retinopathy	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	m6A/circular-RNA assay; conventional sample-level Adora2a abundance is not recoverable	GSE213362		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213362
GEO	GSE216676	Metabolic reprogramming of the neovascular niche promotes regenerative angiogenesis in proliferative retinopathy	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE216676	GSE216676	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216676
GEO	GSE227350	RNA sequencing of sorted P17 murine endothelial cells from the OIR model with OSM or PBS intravitreal injection at P12	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P17 OIR OSM/PBS intervention only; no age-matched normoxia comparator	GSE227350		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227350
GEO	GSE227861	Single-cell RNAseq analysis of wild type and Socs3 cKO retinal immune cells	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P13 collection; not P17	GSE227861		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227861
GEO	GSE230668	Effects of inhibitors in mice with oxygen-induced retinopathy	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE230668	GSE230668	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230668
GEO	GSE234447	Transcriptional Comparison of Human and Murine Retinal Neovascularization	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE234447	GSE234447	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234447
GEO	GSE241239	RNA-sequencing of the oxygen induced retinopathy (OIR) model in C57BL/6 mice	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE241239	GSE241239	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241239
GEO	GSE245456	CUT&Tag of oxygen-induced retinopathy mouse retina	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	CUT&Tag chromatin assay; not transcript abundance	GSE245456		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245456
GEO	GSE249919	Mechanism underlying long-term visual dysfunction in the mouse model of oxygen-induced retinopathy	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	one deposited P17 library per group, preventing study-level variance estimation	GSE249919		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249919
GEO	GSE259255	BGN stimulates retinal pathological angiogenesis via up-regulation of CXCL12 expression in pericytes (mouse)	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	unresolved biological-unit mapping together with an internally incongruent deposited extraction protocol	GSE259255		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE259255
GEO	GSE261490	A humanized therapeutic monoclonal anti-ASC antibody alleviates oxygen-induced retinopathy in mice	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P18 collection; not P17	GSE261490		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261490
GEO	GSE262908	FOXC1 regulates endothelial CD98 (LAT1/4F2hc) expression in retinal angiogenesis and blood-retina barrier formation	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P6 developmental endothelial comparison; not P17 OIR	GSE262908		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262908
GEO	GSE263978	mRNA expression profiles of oxygen-induced retinopathy (OIR) mouse retinas after knockdown treatment of lncRNA-MM2P	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	OIR intervention arms only; no normoxia comparator	GSE263978		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263978
GEO	GSE268420	Chronic intermittent hypoxia inhibits the revascularization of the ischemic retina and aggravates neurodegeneration and neovascularization	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P18 OIR treatment-context comparison; no room-air comparator	GSE268420		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268420
GEO	GSE275394	Global Characterization of Functional Microglia Heterogeneity in Relation to Neovascularization and Regression Phases of Oxygen-Induced Retinopathy in Mice	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	one deposited library per P17 group, preventing study-level variance estimation	GSE275394		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275394
GEO	GSE279825	Monoclonal antibodies that block Roundabout 1 and 2 signaling target pathological ocular neovascularization through myeloid cells	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	one deposited library per relevant cell-type/treatment group, preventing study-level variance estimation	GSE279825		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279825
GEO	GSE281249	Deubiquitinase USP9X regulates Wnt-signaling to control CNS vascular formation and barrier maintenance	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	brain endothelial samples; not retinal OIR	GSE281249		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281249
GEO	GSE281854	Systems level analysis of lipid metabolism in oxygen-induced retinopathy [liver RNA-Seq]	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	liver tissue; not retinal tissue/compartment	GSE281854		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281854
GEO	GSE281855	Systems level analysis of lipid metabolism in oxygen-induced retinopathy [retina_RNAseq]	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P12 hyperoxia comparison; not P17 OIR	GSE281855		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281855
GEO	GSE283276	Single-Cell Multiomics Profiling Reveals Heterogeneity of Müller Cells in the Oxygen-Induced Retinopathy Model	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P17 OIR only; no normoxia comparator	GSE283276		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283276
GEO	GSE288833	Deletion of endothelial glycocalyx component endomucin impairs retinal vascularization and suppresses pathological neovascularization	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	OIR genotype comparison only; no normoxia comparator	GSE288833		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288833
GEO	GSE289223	Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE289223	GSE289223	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289223
GEO	GSE292097	Targeting ATF6 Reduces Pathological Neovascularization and Improves Visual Outcomes in Retinal Disease Models	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	OIR genotype/treatment arms without a recoverable age-matched normoxia contrast	GSE292097		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292097
GEO	GSE301407	Injectable Multifunctional Hydrogel with Sustained Release of procyanidin C1 for Selective Senolysis to Remodel Ocular Fundus Neovascularization	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE301407	GSE301407	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301407
GEO	GSE304959	RiboTag-based profiling of actively translating transcripts in Nrf2-deficient and wildtype Müller cells in a mouse model of oxygen-induced retinopathy	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P14 OIR Müller-cell profiling; no P17 normoxia contrast	GSE304959		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304959
GEO	GSE315511	Attenuation of oxygen-induced neovascularization and inflammation by neutralizing antibody to VEGFA and/or ANG-2	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE315511	GSE315511	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315511
GEO	GSE328096	Single-cell RNA sequencing reveals that Epac1 deletion attenuates Müller glial pathological activation in ischemia-induced retinopathy	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	one deposited WT P17 library per group, preventing study-level variance estimation	GSE328096		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328096
GEO	GSE38762	Gene Expression Profiling In Murine Retina Neovascularization Models	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	collections at P8, P12 and P13; no P17 contrast	GSE38762		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38762
GEO	GSE74170	Comparative Systems Pharmacology of HIF Stabilization in the Prevention of Retinopathy of Prematurity	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	pharmacologic HIF-stabilization study rather than an OIR-versus-normoxia contrast	GSE74170		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74170
GEO	GSE84303	Expressing profiles of small non-coding RNA in mouse models of oxygen-induced retinopathy (OIR)	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	small non-coding RNA profiling; Adora2a mRNA is not recoverable	GSE84303		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84303
GEO	GSM2231235	Retina_OIR_rep1	GEO_01-03_UNION	2026-08-11		removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2231235
GEO	GSM2231236	Retina_OIR_rep2	GEO_01-03_UNION	2026-08-11		removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2231236
GEO	GSM2231237	Retina_OIR_rep3	GEO_01-03_UNION	2026-08-11		removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2231237
GEO	GSM3517545	MWMSmmKOHP1: Hyperoxia EMP2 KO #1	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517545
GEO	GSM3517546	MWMSmmKOHP2: Hyperoxia EMP2 KO #2	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517546
GEO	GSM3517547	MWMSmmKOHP3: Hyperoxia EMP2 KO #3	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517547
GEO	GSM3517548	MWMSmmKOHP4: Hyperoxia EMP2 KO #4	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517548
GEO	GSM3517549	MWMSmmKONM1: Normoxia EMP2 KO #1	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517549
GEO	GSM3517550	MWMSmmKONM2: Normoxia EMP2 KO #2	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517550
GEO	GSM3517551	MWMSmmKONM3: Normoxia EMP2 KO #3	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517551
GEO	GSM3517552	MWMSmmKONM4: Normoxia EMP2 KO #4	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517552
GEO	GSM3517553	MWMSmmWTHP1: Hyperoxia WT #1	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517553
GEO	GSM3517554	MWMSmmWTHP2: Hyperoxia WT #2	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517554
GEO	GSM3517555	MWMSmmWTHP3: Hyperoxia WT #3	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517555
GEO	GSM3517556	MWMSmmWTHP4: Hyperoxia WT #4	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517556
GEO	GSM3517557	MWMSmmWTNM1: Normoxia WT #1	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517557
GEO	GSM3517558	MWMSmmWTNM2: Normoxia WT #2	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517558
GEO	GSM3517559	MWMSmmWTNM3: Normoxia WT #3	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517559
GEO	GSM3517560	MWMSmmWTNM4: Normoxia WT #4	GEO_01-03_UNION	2026-08-11	GSE123945	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517560
GEO	GSM3560159	P14_retina_OIR_rep1	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560159
GEO	GSM3560160	P14_retina_OIR_rep2	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560160
GEO	GSM3560161	P14_retina_OIR_rep3	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560161
GEO	GSM3560162	P14_retina_OIR+AFL_rep1	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560162
GEO	GSM3560163	P14_retina_OIR+AFL_rep2	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560163
GEO	GSM3560164	P14_retina_OIR+AFL_rep3	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560164
GEO	GSM3560168	P17_retina_OIR_rep1	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560168
GEO	GSM3560169	P17_retina_OIR_rep2	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560169
GEO	GSM3560170	P17_retina_OIR_rep3	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560170
GEO	GSM3560171	P17_retina_OIR+AFL_rep1	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560171
GEO	GSM3560172	P17_retina_OIR+AFL_rep2	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560172
GEO	GSM3560173	P17_retina_OIR+AFL_rep3	GEO_01-03_UNION	2026-08-11	GSE124956	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560173
GEO	GSM4085221	P19_retina_OIR_rep1	GEO_01-03_UNION	2026-08-11	GSE137705	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE137705		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085221
GEO	GSM4085222	P19_retina_OIR_rep2	GEO_01-03_UNION	2026-08-11	GSE137705	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE137705		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085222
GEO	GSM4085223	P19_retina_OIR_rep3	GEO_01-03_UNION	2026-08-11	GSE137705	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE137705		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085223
GEO	GSM4085224	P19_retina_OIR+AFLx2_rep1	GEO_01-03_UNION	2026-08-11	GSE137705	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE137705		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085224
GEO	GSM4085225	P19_retina_OIR+AFLx2_rep2	GEO_01-03_UNION	2026-08-11	GSE137705	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE137705		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085225
GEO	GSM4085226	P19_retina_OIR+AFLx2_rep3	GEO_01-03_UNION	2026-08-11	GSE137705	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE137705		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085226
GEO	GSM4085227	P19_retina_OIR+AFLx3_rep1	GEO_01-03_UNION	2026-08-11	GSE137705	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE137705		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085227
GEO	GSM4085228	P19_retina_OIR+AFLx3_rep2	GEO_01-03_UNION	2026-08-11	GSE137705	removed_before_screening	REMOVE_GEO_CHILD_SAMPLE_OBJECT	GEO sample-level child object; the parent series was the screening unit.	GSE137705		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085228
