api_uid	returned_accession	normalized_accession	title	summary	organism	gds_type	n_samples	platform	pubmed_ids	entry_type	geo_url
200152928	GSE152928	GSE152928	A specific RIP3+ subpopulation of microglia promotes retinopathy through a hypoxia-triggered necroptotic mechanism	To elucidate the classification and function of microglia subsets in the angiogenic retina, we used single-cell RNA sequencing on isolated retinal microglia. We identified a novel subpopulation of microglia named sMG2, which highly expressed necroptosis-related genes Rip3 and Mlkl.	Mus musculus	Expression profiling by high throughput sequencing	2	24247	33836603	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152928
200158799	GSE158799	GSE158799	C57Bl6J retina lysates in oxygen-induced retinopathy	Schemic retinopathies such as diabetic retinopathy (DR) and retinopathy of prematurity (ROP), are the main causes of blindness in working age and pediatric populations in industrialized countries. It is estimated that close to 100 million individuals worldwide suffer from DR and 15 million preterm infants born each year are predisposed to ROP. Regrettably, relatively little is known of the cellular processes at play during late stages of pathological angiogenesis in these diseases and consequently current standards of care target all neovascularization. Oxygen-induced retinopathy (OIR) allows to reproduce experimentally in the mouse retina the pathological features observed in human pathological retina such as ischemic avascular regions as well as epi-retinal neovascularization. Using agnostic and orthogonal approaches, in our work we demonstrate that in contrast to healthy blood vessels, pathological vessels engage pathways of cell cycle arrest, resulting in cellular senescence. These findings combined with further genetic and pharmacological approaches provide mechanistic evidence supporting that targeting selectively senescent vessels in DR represents a potential treatment for neovascular retinal disease.	Mus musculus	Expression profiling by high throughput sequencing	16	18635	33548171;32820093	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158799
200174400	GSE174400	GSE174400	Single-cell RNAseq by Dropseq of retinal endothelial cells from WT and ENOS KO mouse	We report the generation of single-cell RNAseq data obtained using Drop-seq from endothelial-enriched retinal cell suspension. Single-cell suspension were enriched using CD-31 antibody coated magnetic beads, and processed for encapsulation and library preparation as in Macosko et al (Cell 2015) based on the Drop-seq procedure.	Mus musculus	Expression profiling by high throughput sequencing	6	19057	34971428;40562775	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174400
200194176	GSE194176	GSE194176	Expression profiles of mRNAs in the retinas of OIR wildtype, OIR IL-19 knockout and room air control mice.	Seven-day-old C57BL/6 mice and IL-19 knockout (KO) mice were subjected to 75% oxygen for 5 days to induce OIR. To explore the mechanism that caused by IL-19 on retinal neovascularization, Gene expressions among retinas of room air control mice, OIR wildtype mice, and OIR IL-19 knockout mice were measured by RNA-sequencing (RNA-seq).	Mus musculus	Expression profiling by high throughput sequencing	9	24247	35816041;39948347	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194176
200019886	GSE19886	GSE19886	Gene Expression Profile of Hyperoxic/hypoxic Retinas in Mouse Model of Oxygen-induced Retinopathy	Retinal ischemia is believed to initiate a series of events that leads to retinal neovascularization observed in several retinal diseases such as diabetetic retinopathy and retinal vein occlusion. Although some molecules such as VEGF and MCP-1 have been implicated in the process, its underlying mechanisms remain elusive. In order to identify genes associated with retinal ischemia, we performed gene expression analyses in retinas of mouse model of oxygen-induced retinopathy using DNA microarray technology.	Mus musculus	Expression profiling by array	9	6481	20220049	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19886
200199792	GSE199792	GSE199792	Single-cell Transcriptome Analyses Reveal Unique Microglia Types Associated with Retinal Pathological Angiogenesis	We used single cell RNA-seq to comprehensively map all retinal microglia populations in a mouse model of oxygen-induced PR. We unveiled several unique types of PR-associated microglia (PRAM) and identified markers, signaling pathways, and regulons associated with these cells. Among these microglial subpopulations, we found a highly proliferative subset of cells with a high self-renewal capacity and a subset of cells with hypermetabolism that expresses high levels of activating microglia markers, glycolytic enzymes, and pro-angiogenic insulin-like growth factor 1. Immunohistochemical staining shows that PRAMs were spatially located within neovascular tufts. These unique microglial subtypes have the potential to promote retinal angiogenesis, which may have important implications for the future treatment of PR and other ocular diseases characterized by pathological angiogenesis.	Mus musculus	Expression profiling by high throughput sequencing	2	19057	36264636	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199792
200200195	GSE200195	GSE200195	Transcriptome analysis of the oxygen induced retinopathy (OIR) model at 5 different timepoints	High-throughput sequencing of murine retina of the oxygen induced retinopathy (OIR) model compared to control mice at 5 consecutive days (P12-P16)	Mus musculus	Expression profiling by high throughput sequencing	32	13112		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200195
200209654	GSE209654	GSE209654	Effect of Caspase1 deletion on oxygen-induced retinopathy in C57BL/6 mice	To investigate the expression profile of genes involved in oxygen-induced retinopathy (OIR) and the effect of caspase1 deletion on those genes in retina.	Mus musculus	Expression profiling by high throughput sequencing	12	24247	37179352	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE209654
200213362	GSE213362	GSE213362	Profiles of N6-methyladenosine modifications of circular RNAs in oxygen-induced retinopathy	To identify the N6-methyladenosine (m6A) modified circular RNAs (circRNAs) involved in a mouse model of oxygen-induced retinopathy (OIR), microarray analysis was performed with the retinal samples from OIR mice and Room air controls.	Mus musculus	Non-coding RNA profiling by array	6	26067		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213362
200216676	GSE216676	GSE216676	Metabolic reprogramming of the neovascular niche promotes regenerative angiogenesis in proliferative retinopathy 	Healthy blood vessels supply neurons to preserve metabolic function. In blinding proliferative retinopathies (PRs), pathological neovascular tufts often emerge in lieu of needed physiological revascularization. Here we show that metabolic shifts in the neovascular niche define angiogenic fate. Fatty acid oxidation (FAO) metabolites accumulated in human and murine retinopathy samples. Neovascular tufts with a distinct single-cell transcriptional signature highly expressed FAO enzymes. The deletion of Sirt3, an FAO regulator, shifted the neovascular niche metabolism from FAO to glycolysis and suppressed tuft formation. This metabolic transition increased Vegf expression in astrocytes and reprogrammed pathological neovessels to a physiological phenotype, hastening vascular regeneration of the ischemic retina and improving vision. Hence, strategies to change the metabolic environment of vessels could promote a regenerative phenotype in vascular diseases. 	Mus musculus	Expression profiling by high throughput sequencing	14	19057	40562775	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216676
200227350	GSE227350	GSE227350	RNA sequencing of sorted P17 murine endothelial cells from the OIR model with OSM or PBS intravitreal injection at P12	IL-6 family cytokines as OSM modify angiogenesis to different degree. This study investigates the influence of intravitreal injection of OSM on the formation of neovascularization in the mice model of Oxygen-induced retinopathy (OIR). Mice at P12 were injected OSM or PBS , retinal cells isolated at P17 via sort and the transcriptome analyzed by RNA sequencing.	Mus musculus	Expression profiling by high throughput sequencing	11	30172	38190125	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227350
200227861	GSE227861	GSE227861	Single-cell RNAseq analysis of wild type and Socs3 cKO retinal immune cells	Myeloid SOCS3 deficiency leads to increased retinal neovascularization in an oxygen-induced retinopathy mouse model. To investigate the role of SOCS3 in the function of myeloid lineage cells, particular microglia during retinopathy, total immune cells were sorted from wildtype and myeloid Socs3 knockout mice with retinopathy applied for single-cell RNAseq analysis by 10X Genomics technology.	Mus musculus	Expression profiling by high throughput sequencing	3	19057	38504518	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227861
200230668	GSE230668	GSE230668	Effects of inhibitors in mice with oxygen-induced retinopathy	Analysis of gene expression changes in oxygen-induced retinopathy mice treated intravitreally with inhibitors. oxygen-induced retinopathy(OIR)mice  is one of the experimental systems that mimic retinal ischemic diseases. This model is widely used as an evaluation system for various surgical procedures.	Mus musculus	Expression profiling by array	10	20775		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230668
200234447	GSE234447	GSE234447	Transcriptional Comparison of Human and Murine Retinal Neovascularization	Background: Retinal neovascularization (RNV) as a result of retinal ischemia, such as in proliferative diabetic retinopathy (PDR) and retinopathy of prematurity (ROP), can lead to vitreous hemorrhage, tractional retinal detachment, and irreversible loss of vision if left untreated. Although panretinal laser photocoagulation and anti-vascular endothelial growth factor (VEGF) injections are efficient treatment modalities, a significant number of patients do not respond to either treatment. This clinical finding suggests that other, previously unrecognized mediators and signaling pathways may contribute to RNV development and could represent valuable targets for future treatments.  Methods: In search of phylogenetically conserved angiogenic mediators, we examined the transcriptional profile of murine RNV from C57BL/6J mice (n=14) in the oxygen-induced retinopathy (OIR) model as well as human RNV membranes from PDR patients (n=7), who had undergone vitrectomy and compared them with corresponding control tissues (n=13, 10 respectively). Genes that were differentially expressed (DEGs) between RNV and control samples were identified for human and murine samples and their associated gene ontology (GO) clusters analyzed. Lastly, human and murine DEGs were compared to identify phylogenetically conserved factors.  Findings: Transcriptional profiles of murine RNV showed that DEGs linked to the activation of the innate immune system (Msn, Cd34), extracellular matrix organisation (Col4a1, Gfap), and regulation of angiogenesis (Col4a2, Fgf2) were significantly upregulated both at the ischemic, preproliferative stage of the disease (OIR p14) as well as at the proliferative stage (OIR p17). While similar GO terms were upregulated in human RNV, only a small overlap in DEGs between both species was detected. Phylogenetically conserved mediators upregulated in both murine and human RNV included ANGPT2, S100A8, MCAM, EDNRA, MRC1, and CCR7.  Interpretation: This study identifies phylogenetically conserved inflammatory and pro-angiogenic mediators that are significantly upregulated in both murine and human RNV. Among them, MCAM, ENDRA and MRC1 emerged as the most upregulated, phylogenetically conserved DEGs not yet implicated in human RNV, thus representing potential new treatment targets for ischemic retinal diseases.	Mus musculus	Expression profiling by high throughput sequencing	27	30172	38153746	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234447
200241239	GSE241239	GSE241239	RNA-sequencing of the oxygen induced retinopathy (OIR) model in C57BL/6 mice	Pathological retinal angiogenesis is one of the major causes of vision loss worldwide. The breakdown of blood vessels and aberrant vessels growth usually lead to hemorrhage, macular edema, fibrotic scar, and retinal detachment. OIR model serves as a proxy for human pathological retinal neovascularization such as proliferative diabetic retinopathy, retinal vein occlusion and retinopathy of prematurity. C57BL/6 mice were exposed to 75% O2 in a hyperoxic chamber from postnatal day P7 to P12 and then returned to room air. The greatest neovascular response occurred at postnatal 17 days (P17) when the mice are put back to room air condition for 5 days. In order to reveal potential genes that involve in pathological neovascularization, we performed transcriptomic analyses of retina of P17.	Mus musculus	Expression profiling by high throughput sequencing	12	24247		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241239
200245456	GSE245456	GSE245456	CUT&Tag of oxygen-induced retinopathy mouse retina	c-Fos and c-Jun form activator protein 1 (AP-1) transcription factors that regulate gene expression by binding to specific motifs on the genome. To investigate c-Fos regulating genes in OIR rod photoreceptor cells, we performed CUT&Tag subjecting normoxia P14 and OIR P14 retina using c-Fos, H3K27ac (enhancer maker), H3K4me3 (active promoter maker), and H3K27me3 ( gene repression maker) antibodies.	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	40	21626	38483712	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245456
200249919	GSE249919	GSE249919	Mechanism underlying long-term visual dysfunction in the mouse model of oxygen-induced retinopathy	To investigate the mechanism of long-term visual dysfunction in the mouse model of oxygen-induced retinopathy (OIR) by performing RNA sequencing (RNA-seq) . Then further verify the results in transcriptional, expression and function, to explore the methods to improve its electrophysiological function and provide new ideas for the treatment of retinopathy of prematurity (ROP). 7 days C57BL/6 mice  were placed in a closed hyperoxia chamber. After 5 days, they were raised in the ordinary air environment. On, the 17th day and 25th day, the eyes were removed.  The results of RNA-seq in the retina of the OIR mice at P17 showed that compared with the normal control group, 102 differentially expressed genes were identified, of which 95 were significantly up-regulated and 7 were significantly down-regulated. This study  provides a new idea of neuroprotection for the treatment of patients with mild premature retinopathy.	Mus musculus	Expression profiling by high throughput sequencing	2	24247		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249919
200259255	GSE259255	GSE259255	BGN stimulates retinal pathological angiogenesis via up-regulation of CXCL12 expression in pericytes (mouse)	Retinal pathological angiogenesis (PA) is a common hallmark in proliferative retinopathies, including age-related macular degeneration (AMD), proliferative diabetic retinopathy (PDR), and retinopathy of prematurity (ROP). The mechanisms underlying PA is complex and incompletely understood. Using oxygen-induced retinopathy (OIR) mouse as a model, the role of extracellular matrix (ECM) protein biglycan (BGN) in PA was studied. Significant upregulation of BGN in the retina of OIR mice and in neovascular proliferative membranes of PDR patients was found. The reduction of BGN expression by Bgn-specific small interfering RNA (siRNA) effectively diminished retinal PA in OIR mouse. Subsequent analysis of the mouse OIR retinal single-cell RNA sequencing data from the Gene Expression Omnibus dataset (GSE150703) suggested pericyte as a source of BGN. This was verified using cultured retinal capillary pericytes. BGN expression in pericytes was highly sensitive to hypoxic stimulation. BGN stimulated retinal PA via the upregulation of C-X-C motif chemokine ligand 12 (CXCL12). Inhibition of the CXCL12-CXCR4 axis effectively diminished PA in OIR mouse. In conclusion, this study demonstrated the stimulatory role of BGN in retinal PA, identified the link between BGN and CXCL12 expression, and further highlighted the role of pericytes in retinal PA.	Mus musculus	Expression profiling by high throughput sequencing	6	24247		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE259255
200261490	GSE261490	GSE261490	A humanized therapeutic monoclonal anti-ASC antibody alleviates oxygen-induced retinopathy in mice	This study was to test the efficacy of a humanized monoclonal antibody, IC100 for ASC, an apoptosis-associated speck-like protein containing a caspase recruitment domain that is pivotal in inflammasome assembly, in the prevention and treatment of an oxygen-induced retinopathy (OIR) mouse model.	Mus musculus	Expression profiling by high throughput sequencing	12	24247		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261490
200262908	GSE262908	GSE262908	FOXC1 regulates endothelial CD98 (LAT1/4F2hc) expression in retinal angiogenesis and blood-retina barrier formation	Angiogenesis, the growth of new blood vessels from pre-existing vasculature, is essential for the development of new organ systems, but transcriptional control of angiogenesis remains incompletely understood. Here we report that FOXC1 is essential for retinal angiogenesis. Endothelial cell (EC)-specific loss of Foxc1 impairs retinal vascular growth and expression of Slc3a2 and Slc7a5, which encode the heterodimeric CD98 (LAT1/4F2hc) amino acid transporter and regulate the intracellular transport of essential amino acids and activation of the mammalian target of rapamycin (mTOR). EC-Foxc1 deficiency diminishes mTOR activity, while administration of the mTOR agonist MHY-1485 rescues perturbed retinal angiogenesis. EC-Foxc1 expression is required for retinal revascularization and resolution of neovascular tufts in a model of oxygen-induced retinopathy. Foxc1 is also indispensable for pericytes, a critical component of the blood-retina barrier during retinal angiogenesis. Our findings establish FOXC1 as a crucial regulator of retinal vessels and identify therapeutic targets for treating retinal vascular disease.	Mus musculus	Expression profiling by high throughput sequencing	6	17021	38755144	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262908
200263978	GSE263978	GSE263978	mRNA expression profiles of oxygen-induced retinopathy (OIR) mouse retinas after knockdown treatment of lncRNA-MM2P	The purpose of this study is to investigate the mRNA expression profiles of OIR retinas after knockdown treatment of lncRNA-MM2P. We established an OIR model in C57BL/6J mice. The expression of lncRNA-MM2P in the retinas of OIR mice was knocked down by intravitreal injection of self-complementary adeno-associated virus (scAAV). Retinas of four eyes from two OIR mice were collected as one sample. The control group was treated with control scAAV and named as AAV_NC, the knockdown group was treated with knockdown scAAV and named as AAV_sh. The total RNA was extracted from total of eight samples (four samples each group) for RNA sequencing.	Mus musculus	Expression profiling by high throughput sequencing	8	24247		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263978
200268420	GSE268420	GSE268420	Chronic intermittent hypoxia inhibits the revascularization of the ischemic retina and aggravates neurodegeneration and neovascularization	Neovascular retinopathies and edema are sign threatening complications of ischemic retinopathies, such as retinopathy of prematurity (ROP) and diabetic retinopathy (DR). Sleep apnea that leads to chronic intermittent hypoxia (CIH) is an independent risk factor for severe disease, but the underlying mechanisms are unknown. Here we show that experimental CIH during the ischemic phase of oxygen induced retinopathy in mice severely reduces beneficial revascularitzation of the ischemic retina, and increases neuronal loss and pathological neovascularization. Mechanistically we demonstrate that CIH reduces both colony stimulation factor 1 (CSF-1) expression and the ischemia-induced increase of retinal microglial cells that promotes the revascularization of the ischemic retina in the absence of CIH. Local CSF1R inhibition during ischemic retinopathy reduced the number of microglial cells, inhibited revascularization, and exacerbated pathological neovascularization, recapitulating several effects of CIH. Our findings provide a novel mechanism by which sleep apnea and CIH aggravate ischemic retinopathies, underscoring the importance of treating apnea in ROP and DR to help prevent sight threatening severe disease.	Mus musculus	Expression profiling by high throughput sequencing	6	34328	40087728	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268420
200275394	GSE275394	GSE275394	Global Characterization of Functional Microglia Heterogeneity in Relation to Neovascularization and Regression Phases of Oxygen-Induced Retinopathy in Mice	Retinal neovascularization (RNV) is manifested in various retinal pathological conditions, often leading to irreversible blindness. Oxygen-induced Retinopathy (OIR) mouse model proves to be useful for understanding RNV. The OIR vasculatures exhibited two distinct phases: neovascularization and regression, with microglia playing a pivotal role. Most studies concern microglia functions in promoting RNV; however, global retinal microglia dynamics and functional molecular features during RNV formation and regression have yet to be illustrated. Here, we enriched retinal microglia from normoxia (NOX) and OIR mice retinas at different timepoints of RNV progression and regression and performed single-cell RNA sequencing (scRNA-seq).This approach enabled a detailed analysis of microglia dynamics and functional heterogeneity during retinal neovascularization and regression in OIR mice, providing novel mechanistic insights with potential therapeutic implications for retinal diseases involving pathological neovascularization.	Mus musculus	Expression profiling by high throughput sequencing	4	24247	41569006	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275394
200279825	GSE279825	GSE279825	Monoclonal antibodies that block Roundabout 1 and 2 signaling target pathological ocular neovascularization through myeloid cells	Roundabout (ROBO) 1 and 2 are transmembrane receptors that bind secreted SLIT ligands through their extracellular domains (ECD), and signal through their cytoplasmic domains to modulate the cytoskeleton and regulate cell migration, adhesion, and proliferation. SLIT-ROBO signaling was discovered as a guidance cue for axons in the developing nervous system, but ROBO receptors are expressed by many additional cell types and more broadly regulate organ morphogenesis, as well as cancer and pathological ocular neovascularization.  As pharmacological tools to prevent  SLIT-ROBOR signaling are lacking, herein we developed human monoclonal antibodies (mAb ) against the ROBO1 and 2 ECD. One antibody that inhibited in vitro  SLIT2 signaling through ROBO1/2 reduced ocular neovascularization in two pathological models in vivo . Single cell RNA sequencing revealed that antibody treatment affected several cell types relevant to angiogenesis, including endothelial cells, pericytes, and a heterogeneous population of myeloid cells. mAb treatment improved Blood-Retina Barrier integrity and prevented pathological pericyte activation . SLIT-ROBO signaling inhibition prevented pathological activation of myeloid cells, which was phenocopied by both myeloid cell specific ablation of Robo1 and 2 and by knockout of the downstream effector  Pi3kγ . Anti-ROBO1/2 blocking antibodies may thus provide a new promising strategy to combat inflammation in blinding eye diseases.	Mus musculus	Expression profiling by high throughput sequencing	6	21103	39565875	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279825
200281249	GSE281249	GSE281249	Deubiquitinase USP9X regulates Wnt-signaling to control CNS vascular formation and barrier maintenance	Deubiquitinating enzymes play crucial roles in various cellular activities, yet their involvement in central nervous system (CNS) vascularization and barrier function remains elusive. Canonical Wnt signaling is essential for proper CNS vascularization and barrier maintenance. Using a loss-of-function screening for Wnt signaling activity, we identified ubiquitin-specific peptidase 9 X-linked (USP9X) as a key regulator in brain endothelial cells (BECs). Endothelium-specific Usp9x knockout reduces Wnt-signaling activity, compromising CNS vascularization and barrier function during development. Activation of Wnt signaling rescues these defects. Mechanistically, we uncovered β-catenin as a direct substrate of USP9X, with USP9X catalyzing K48 polyubiquitin chains to stabilize β-catenin. In pathological models of impaired CNS vascular barrier function, including an intracerebral hemorrhage model and an oxygen-induced retinopathy model, loss of Usp9x intensifies barrier disruption, accentuating defects. This finding implicates USP9X as a critical regulator of CNS vascularization and barrier function through Wnt signaling, offering insights into CNS disease implications.	Mus musculus	Expression profiling by high throughput sequencing	8	17021		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281249
