pmid	title	journal	pubdate	doi	pmc	pubmed_url	decision	screening_note
21731737	Blockade of VEGFR1 and 2 suppresses pathological angiogenesis and vascular leakage in the eye.	PloS one	2011	10.1371/journal.pone.0021411	PMC3120882	https://pubmed.ncbi.nlm.nih.gov/21731737/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
21912378	Bone marrow-derived monocyte lineage cells recruited by MIP-1β promote physiological revascularization in mouse model of oxygen-induced retinopathy.	Laboratory investigation; a journal of technical methods and pathology	2012 Jan	10.1038/labinvest.2011.141		https://pubmed.ncbi.nlm.nih.gov/21912378/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
22491401	Propranolol inhibition of β-adrenergic receptor does not suppress pathologic neovascularization in oxygen-induced retinopathy.	Investigative ophthalmology & visual science	2012 May 17	10.1167/iovs.12-9691	PMC3376075	https://pubmed.ncbi.nlm.nih.gov/22491401/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
22714897	β-LGND2, an ERβ selective agonist, inhibits pathologic retinal neovascularization.	Investigative ophthalmology & visual science	2012 Jul 31	10.1167/iovs.12-9627		https://pubmed.ncbi.nlm.nih.gov/22714897/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
23048035	Connective tissue growth factor regulates retinal neovascularization through p53 protein-dependent transactivation of the matrix metalloproteinase (MMP)-2 gene.	The Journal of biological chemistry	2012 Nov 23	10.1074/jbc.M112.386565	PMC3504771	https://pubmed.ncbi.nlm.nih.gov/23048035/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
23592914	Profiling of genes associated with the murine model of oxygen-induced retinopathy.	Molecular vision	2013		PMC3626293	https://pubmed.ncbi.nlm.nih.gov/23592914/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
23798676	Degradome products of the matricellular protein CCN1 as modulators of pathological angiogenesis in the retina.	The Journal of biological chemistry	2013 Aug 9	10.1074/jbc.M113.475418	PMC3743481	https://pubmed.ncbi.nlm.nih.gov/23798676/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
23942974	Modulation of angiogenesis by genetic manipulation of ATF4 in mouse model of oxygen-induced retinopathy [corrected].	Investigative ophthalmology & visual science	2013 Sep 3	10.1167/iovs.13-12117	PMC3762331	https://pubmed.ncbi.nlm.nih.gov/23942974/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
23959876	Hypoxic retinal Muller cells promote vascular permeability by HIF-1-dependent up-regulation of angiopoietin-like 4.	Proceedings of the National Academy of Sciences of the United States of America	2013 Sep 3	10.1073/pnas.1217091110	PMC3767527	https://pubmed.ncbi.nlm.nih.gov/23959876/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
24106122	Involvement of Nox2 NADPH oxidase in retinal neovascularization.	Investigative ophthalmology & visual science	2013 Oct 29	10.1167/iovs.13-12883		https://pubmed.ncbi.nlm.nih.gov/24106122/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
24566275	Anti-angiogenic effect of bare titanium dioxide nanoparticles on pathologic neovascularization without unbearable toxicity.	Nanomedicine : nanotechnology, biology, and medicine	2014 Jul	10.1016/j.nano.2014.02.007		https://pubmed.ncbi.nlm.nih.gov/24566275/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
24875598	Hypoxia-mediated retinal neovascularization and vascular leakage in diabetic retina is suppressed by HIF-1α destabilization by SH-1242 and SH-1280, novel hsp90 inhibitors.	Journal of molecular medicine (Berlin, Germany)	2014 Oct	10.1007/s00109-014-1168-8		https://pubmed.ncbi.nlm.nih.gov/24875598/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
24947526	Endothelial deletion of phospholipase D2 reduces hypoxic response and pathological angiogenesis.	Arteriosclerosis, thrombosis, and vascular biology	2014 Aug	10.1161/ATVBAHA.114.303416		https://pubmed.ncbi.nlm.nih.gov/24947526/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
26064225	Temporal and spatial changes in VEGF, αA- and αB-crystallin expression in a mouse model of oxygen-induced retinopathy.	International journal of clinical and experimental medicine	2015		PMC4443059	https://pubmed.ncbi.nlm.nih.gov/26064225/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
26242736	Single and Compound Knock-outs of MicroRNA (miRNA)-155 and Its Angiogenic Gene Target CCN1 in Mice Alter Vascular and Neovascular Growth in the Retina via Resident Microglia.	The Journal of biological chemistry	2015 Sep 18	10.1074/jbc.M115.646950	PMC4645596	https://pubmed.ncbi.nlm.nih.gov/26242736/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
26264147	Inhibitory effect of Samul-tang on retinal neovascularization in oxygen-induced retinopathy.	BMC complementary and alternative medicine	2015 Aug 12	10.1186/s12906-015-0800-7	PMC4534021	https://pubmed.ncbi.nlm.nih.gov/26264147/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
27091985	Comparative systems pharmacology of HIF stabilization in the prevention of retinopathy of prematurity.	Proceedings of the National Academy of Sciences of the United States of America	2016 May 3	10.1073/pnas.1523005113	PMC4983815	https://pubmed.ncbi.nlm.nih.gov/27091985/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
27653551	Retinal expression of small non-coding RNAs in a murine model of proliferative retinopathy.	Scientific reports	2016 Sep 22	10.1038/srep33947	PMC5032015	https://pubmed.ncbi.nlm.nih.gov/27653551/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
27658786	An Eye on Age-Related Macular Degeneration: The Role of MicroRNAs in Disease Pathology.	Molecular diagnosis & therapy	2017 Feb	10.1007/s40291-016-0234-z	PMC5250647	https://pubmed.ncbi.nlm.nih.gov/27658786/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
27922698	Differentially expressed miRNAs in oxygen‑induced retinopathy newborn mouse models.	Molecular medicine reports	2017 Jan	10.3892/mmr.2016.5993	PMC5355681	https://pubmed.ncbi.nlm.nih.gov/27922698/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
28400392	Identification of RUNX1 as a Mediator of Aberrant Retinal Angiogenesis.	Diabetes	2017 Jul	10.2337/db16-1035	PMC5482092	https://pubmed.ncbi.nlm.nih.gov/28400392/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
28469167	Interplay between CCN1 and Wnt5a in endothelial cells and pericytes determines the angiogenic outcome in a model of ischemic retinopathy.	Scientific reports	2017 May 3	10.1038/s41598-017-01585-8	PMC5431199	https://pubmed.ncbi.nlm.nih.gov/28469167/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
30097694	Anti-angiogenic effects of the DPP-4 inhibitor linagliptin via inhibition of VEGFR signalling in the mouse model of oxygen-induced retinopathy.	Diabetologia	2018 Nov	10.1007/s00125-018-4701-4		https://pubmed.ncbi.nlm.nih.gov/30097694/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
30250985	Contribution of the clock gene DEC2 to VEGF mRNA upregulation by modulation of HIF1α protein levels in hypoxic MIO-M1 cells, a human cell line of retinal glial (Müller) cells.	Japanese journal of ophthalmology	2018 Nov	10.1007/s10384-018-0622-5		https://pubmed.ncbi.nlm.nih.gov/30250985/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
31131231	Identification of altered microRNAs in retinas of mice with oxygen-induced retinopathy.	International journal of ophthalmology	2019	10.18240/ijo.2019.05.07	PMC6520261	https://pubmed.ncbi.nlm.nih.gov/31131231/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
31171905	Microarray Analysis of Long Non-Coding RNAs and Messenger RNAs in a Mouse Model of Oxygen-Induced Retinopathy.	International journal of medical sciences	2019	10.7150/ijms.31274	PMC6535665	https://pubmed.ncbi.nlm.nih.gov/31171905/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
31199961	The long dystrophin gene product Dp427 modulates retinal function and vascular morphology in response to age and retinal ischemia.	Neurochemistry international	2019 Oct	10.1016/j.neuint.2019.104489		https://pubmed.ncbi.nlm.nih.gov/31199961/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
31314602	Stanniocalcin-1 is a Modifier of Oxygen-Induced Retinopathy Severity.	Current eye research	2020 Jan	10.1080/02713683.2019.1645184	PMC6898771	https://pubmed.ncbi.nlm.nih.gov/31314602/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
31452702	Oxygen-induced circRNA profiles and coregulatory networks in a retinopathy of prematurity mouse model.	Experimental and therapeutic medicine	2019 Sep	10.3892/etm.2019.7819	PMC6704537	https://pubmed.ncbi.nlm.nih.gov/31452702/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
31578039	Short- and long-term impact of hyperoxia on the blood and retinal cells' transcriptome in a mouse model of oxygen-induced retinopathy.	Pediatric research	2020 Feb	10.1038/s41390-019-0598-y	PMC7033041	https://pubmed.ncbi.nlm.nih.gov/31578039/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
31672944	Progenitor cell combination normalizes retinal vascular development in the oxygen-induced retinopathy (OIR) model.	JCI insight	2019 Nov 1	10.1172/jci.insight.129224	PMC6948778	https://pubmed.ncbi.nlm.nih.gov/31672944/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
31692917	Identifying circRNA-associated-ceRNA networks in retinal neovascularization in mice.	International journal of medical sciences	2019	10.7150/ijms.35149	PMC6818188	https://pubmed.ncbi.nlm.nih.gov/31692917/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
31846472	A transcriptome-based signature of pathological angiogenesis predicts breast cancer patient survival.	PLoS genetics	2019 Dec	10.1371/journal.pgen.1008482	PMC6917213	https://pubmed.ncbi.nlm.nih.gov/31846472/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
32031575	Epithelial Membrane Protein 2 (EMP2) Promotes VEGF-Induced Pathological Neovascularization in Murine Oxygen-Induced Retinopathy.	Investigative ophthalmology & visual science	2020 Feb 7	10.1167/iovs.61.2.3	PMC7325623	https://pubmed.ncbi.nlm.nih.gov/32031575/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
32053824	Transcriptome analysis reveals dysregulation of genes involved in oxidative phosphorylation in a murine model of retinopathy of prematurity.	Pediatric research	2020 Sep	10.1038/s41390-020-0793-x		https://pubmed.ncbi.nlm.nih.gov/32053824/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
32150307	Temporospatial distribution and transcriptional profile of retinal microglia in the oxygen-induced retinopathy mouse model.	Glia	2020 Sep	10.1002/glia.23810		https://pubmed.ncbi.nlm.nih.gov/32150307/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
32346884	Overexpression of miR-181a-5p inhibits retinal neovascularization through endocan and the ERK1/2 signaling pathway.	Journal of cellular physiology	2020 Dec	10.1002/jcp.29733	PMC7587009	https://pubmed.ncbi.nlm.nih.gov/32346884/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
32444495	Disruption of profilin1 function suppresses developmental and pathological retinal neovascularization.	The Journal of biological chemistry	2020 Jul 10	10.1074/jbc.RA120.012613	PMC7363146	https://pubmed.ncbi.nlm.nih.gov/32444495/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
32714074	Small RNA Sequencing Reveals Transfer RNA-derived Small RNA Expression Profiles in Retinal Neovascularization.	International journal of medical sciences	2020	10.7150/ijms.46209	PMC7378657	https://pubmed.ncbi.nlm.nih.gov/32714074/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
33975909	Tribbles Homolog 3 Mediates the Development and Progression of Diabetic Retinopathy.	Diabetes	2021 Aug	10.2337/db20-1268	PMC8385618	https://pubmed.ncbi.nlm.nih.gov/33975909/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
34273276	Specialized endothelial tip cells guide neuroretina vascularization and blood-retina-barrier formation.	Developmental cell	2021 Aug 9	10.1016/j.devcel.2021.06.021	PMC9951594	https://pubmed.ncbi.nlm.nih.gov/34273276/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
34321516	Gene expression profile of the murine ischemic retina and its response to Aflibercept (VEGF-Trap).	Scientific reports	2021 Jul 28	10.1038/s41598-021-94500-1	PMC8319207	https://pubmed.ncbi.nlm.nih.gov/34321516/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
34469714	Competing endogenous RNA network associated with oxygen-induced retinopathy: Expression of the network and identification of the MALAT1/miR-124-3p/EGR1 regulatory axis.	Experimental cell research	2021 Nov 1	10.1016/j.yexcr.2021.112783		https://pubmed.ncbi.nlm.nih.gov/34469714/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
34690760	Effect of Probenecid on Endothelial Cell Growth Rate and Retinal Angiogenesis in an Oxygen-Induced Retinopathy Model.	Frontiers in pharmacology	2021	10.3389/fphar.2021.717351	PMC8526964	https://pubmed.ncbi.nlm.nih.gov/34690760/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
34971428	eNOS controls angiogenic sprouting and retinal neovascularization through the regulation of endothelial cell polarity.	Cellular and molecular life sciences : CMLS	2021 Dec 31	10.1007/s00018-021-04042-y	PMC8739159	https://pubmed.ncbi.nlm.nih.gov/34971428/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
34999209	Targeting circular RNA-MET for anti-angiogenesis treatment via inhibiting endothelial tip cell specialization.	Molecular therapy : the journal of the American Society of Gene Therapy	2022 Mar 2	10.1016/j.ymthe.2022.01.012	PMC8899597	https://pubmed.ncbi.nlm.nih.gov/34999209/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
35282140	MicroRNA Expression Analysis of Mice Retinas with Oxygen-Induced Retinopathy by RNA Sequencing.	Journal of ophthalmology	2022	10.1155/2022/9738068	PMC8913133	https://pubmed.ncbi.nlm.nih.gov/35282140/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
35366885	Graphene quantum dots rescue angiogenic retinopathy via blocking STAT3/Periostin/ERK signaling.	Journal of nanobiotechnology	2022 Apr 2	10.1186/s12951-022-01362-4	PMC8977040	https://pubmed.ncbi.nlm.nih.gov/35366885/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
35455951	HIF-1-Dependent Induction of β3 Adrenoceptor: Evidence from the Mouse Retina.	Cells	2022 Apr 8	10.3390/cells11081271	PMC9029465	https://pubmed.ncbi.nlm.nih.gov/35455951/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
35584758	N(6)-methyladenosine modifications of mRNAs and long noncoding RNAs in oxygen-induced retinopathy in mice.	Experimental eye research	2022 Jul	10.1016/j.exer.2022.109114		https://pubmed.ncbi.nlm.nih.gov/35584758/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
35814887	Ultrasound-targeted cationic microbubble-mediated gene transfection and inhibition of retinal neovascularization.	International journal of ophthalmology	2022	10.18240/ijo.2022.06.04	PMC9203472	https://pubmed.ncbi.nlm.nih.gov/35814887/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
35980290	MiR-375 mitigates retinal angiogenesis by depressing the JAK2/STAT3 pathway.	Aging	2022 Aug 17	10.18632/aging.204232	PMC9467412	https://pubmed.ncbi.nlm.nih.gov/35980290/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
36264636	Single-cell transcriptome analyses reveal microglia types associated with proliferative retinopathy.	JCI insight	2022 Dec 8	10.1172/jci.insight.160940	PMC9746914	https://pubmed.ncbi.nlm.nih.gov/36264636/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
36322719	Anti-angiogenic properties of microRNA-29a in preclinical ocular models.	Proceedings of the National Academy of Sciences of the United States of America	2022 Nov 8	10.1073/pnas.2204795119	PMC9659377	https://pubmed.ncbi.nlm.nih.gov/36322719/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
36675807	Microglia-Derived Spp1 Promotes Pathological Retinal Neovascularization via Activating Endothelial Kit/Akt/mTOR Signaling.	Journal of personalized medicine	2023 Jan 11	10.3390/jpm13010146	PMC9866717	https://pubmed.ncbi.nlm.nih.gov/36675807/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
36794165	m(6)A modifications of circular RNAs in ischemia-induced retinal neovascularization.	International journal of medical sciences	2023	10.7150/ijms.79409	PMC9925993	https://pubmed.ncbi.nlm.nih.gov/36794165/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
36870288	Role of Adrenomedullin 2/Intermedin in the Pathogenesis of Neovascular Age-Related Macular Degeneration.	Laboratory investigation; a journal of technical methods and pathology	2023 Apr	10.1016/j.labinv.2022.100038		https://pubmed.ncbi.nlm.nih.gov/36870288/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
36942311	Exosomes incorporated with black phosphorus quantum dots attenuate retinal angiogenesis via disrupting glucose metabolism.	Materials today. Bio	2023 Apr	10.1016/j.mtbio.2023.100602	PMC10024194	https://pubmed.ncbi.nlm.nih.gov/36942311/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
37017325	Hypoxia-inducible factor stabilisation-related lncRNAs in retinopathy of prematurity.	Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology	2023 Dec	10.1080/01443615.2023.2178289		https://pubmed.ncbi.nlm.nih.gov/37017325/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
37179352	Vascular cell-adhesion molecule 1 (VCAM-1) regulates JunB-mediated IL-8/CXCL1 expression and pathological neovascularization.	Communications biology	2023 May 13	10.1038/s42003-023-04905-z	PMC10183029	https://pubmed.ncbi.nlm.nih.gov/37179352/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
37213234	Oxygen-induced pathological angiogenesis promotes intense lipid synthesis and remodeling in the retina.	iScience	2023 Jun 16	10.1016/j.isci.2023.106777	PMC10199268	https://pubmed.ncbi.nlm.nih.gov/37213234/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
37215579	Single-cell RNA sequencing reveals a unique pericyte type associated with capillary dysfunction.	Theranostics	2023	10.7150/thno.83532	PMC10196835	https://pubmed.ncbi.nlm.nih.gov/37215579/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
37322431	Galectin-1-dependent ceRNA network in HRMECs revealed its association with retinal neovascularization.	BMC genomics	2023 Jun 15	10.1186/s12864-023-09352-y	PMC10268405	https://pubmed.ncbi.nlm.nih.gov/37322431/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
37441592	Tsp-1(+) microglia attenuate retinal neovascularization by maintaining the expression of Smad3 in endothelial cells through exosomes with decreased miR-27a-5p.	Theranostics	2023	10.7150/thno.84236	PMC10334831	https://pubmed.ncbi.nlm.nih.gov/37441592/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
37942611	FAM222A, Part of the BET-Regulated Basal Endothelial Transcriptome, Is a Novel Determinant of Endothelial Biology and Angiogenesis-Brief Report.	Arteriosclerosis, thrombosis, and vascular biology	2024 Jan	10.1161/ATVBAHA.123.319909	PMC10840377	https://pubmed.ncbi.nlm.nih.gov/37942611/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
38027065	AAV2-antiVEGFscFv gene therapy for retinal neovascularization.	Molecular therapy. Methods & clinical development	2023 Dec 14	10.1016/j.omtm.2023.101145	PMC10679950	https://pubmed.ncbi.nlm.nih.gov/38027065/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
38153746	Transcriptional Comparison of Human and Murine Retinal Neovascularization.	Investigative ophthalmology & visual science	2023 Dec 1	10.1167/iovs.64.15.46	PMC10756240	https://pubmed.ncbi.nlm.nih.gov/38153746/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
38190125	Oncostatin M Reduces Pathological Neovascularization in the Retina Through Müller Cell Activation.	Investigative ophthalmology & visual science	2024 Jan 2	10.1167/iovs.65.1.22	PMC10777876	https://pubmed.ncbi.nlm.nih.gov/38190125/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
38434621	Amelioration of oxygen-induced retinopathy in neonatal mice with fetal growth restriction.	Frontiers in cell and developmental biology	2024	10.3389/fcell.2024.1288212	PMC10904624	https://pubmed.ncbi.nlm.nih.gov/38434621/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
