source	record_id	title	decision	reason	duplicate_of
NCBI BioProject	PRJNA1174746	Monoclonal antibodies that block Roundabout 1 and 2 signaling target pathological ocular neovascularization through myeloid cells	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE279825 (normalized-title similarity 1.000)	GSE279825
NCBI BioProject	PRJNA1150598	Global Characterization of Functional Microglia Heterogeneity in Relation to Neovascularization and Regression Phases of Oxygen-Induced Retinopathy in Mice	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE275394 (normalized-title similarity 1.000)	GSE275394
NCBI BioProject	PRJNA1117071	Chronic intermittent hypoxia inhibits the revascularization of the ischemic retina and aggravates neurodegeneration and neovascularization	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE268420 (normalized-title similarity 1.000)	GSE268420
NCBI BioProject	PRJNA1100496	mRNA expression profiles of oxygen-induced retinopathy (OIR) mouse retinas after knockdown treatment of lncRNA-MM2P	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE263978 (normalized-title similarity 1.000)	GSE263978
NCBI BioProject	PRJNA1094884	FOXC1 regulates endothelial CD98 (LAT1/4F2hc) expression in retinal angiogenesis and blood-retina barrier formation	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE262908 (normalized-title similarity 1.000)	GSE262908
NCBI BioProject	PRJNA1087306	A humanized therapeutic monoclonal anti-ASC antibody alleviates oxygen-induced retinopathy in mice	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE261490 (normalized-title similarity 1.000)	GSE261490
NCBI BioProject	PRJNA1080537	BGN stimulates retinal pathological angiogenesis via up-regulation of CXCL12 expression in pericytes (mouse)	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE259255 (normalized-title similarity 1.000)	GSE259255
NCBI BioProject	PRJNA1051126	Mechanism underlying long-term visual dysfunction in the mouse model of oxygen-induced retinopathy	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE249919 (normalized-title similarity 1.000)	GSE249919
NCBI BioProject	PRJNA1028541	CUT&Tag of oxygen-induced retinopathy mouse retina	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE245456 (normalized-title similarity 1.000)	GSE245456
NCBI BioProject	PRJNA1006773	RNA-sequencing of the oxygen induced retinopathy (OIR) model in C57BL/6 mice	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE241239 (normalized-title similarity 1.000)	GSE241239
NCBI BioProject	PRJNA981457	Transcriptional Comparison of Human and Murine Retinal Neovascularization	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE234447 (normalized-title similarity 1.000)	GSE234447
NCBI BioProject	PRJNA962098	Effects of inhibitors in mice with oxygen-induced retinopathy	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE230668 (normalized-title similarity 1.000)	GSE230668
NCBI BioProject	PRJNA947200	Single-cell RNAseq analysis of wild type and Socs3 cKO retinal immune cells	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE227861 (normalized-title similarity 1.000)	GSE227861
NCBI BioProject	PRJNA944689	RNA sequencing of sorted P17 murine endothelial cells from the OIR model with OSM or PBS intravitreal injection at P12	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE227350 (normalized-title similarity 1.000)	GSE227350
NCBI BioProject	PRJNA880599	Profiles of N6-methyladenosine modifications of circular RNAs in oxygen-induced retinopathy	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE213362 (normalized-title similarity 1.000)	GSE213362
NCBI BioProject	PRJNA862060	Effect of Caspase1 deletion on oxygen-induced retinopathy in C57BL/6 mice	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE209654 (normalized-title similarity 1.000)	GSE209654
NCBI BioProject	PRJNA823657	Transcriptome analysis of the oxygen induced retinopathy (OIR) model at 5 different timepoints	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE200195 (normalized-title similarity 1.000)	GSE200195
NCBI BioProject	PRJNA821499	Single-cell Transcriptome Analyses Reveal Unique Microglia Types Associated with Retinal Pathological Angiogenesis	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE199792 (normalized-title similarity 1.000)	GSE199792
NCBI BioProject	PRJNA799358	Expression profiles of mRNAs in the retinas of OIR wildtype, OIR IL-19 knockout and room air control mice.	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE194176 (normalized-title similarity 1.000)	GSE194176
NCBI BioProject	PRJNA666571	C57Bl6J retina lysates in oxygen-induced retinopathy	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE158799 (normalized-title similarity 1.000)	GSE158799
NCBI BioProject	PRJNA641006	A specific RIP3+ subpopulation of microglia promotes retinopathy through a hypoxia-triggered necroptotic mechanism	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE152928 (normalized-title similarity 1.000)	GSE152928
NCBI BioProject	PRJNA633594	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol [P50]	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE150794 (normalized-title similarity 1.000)	GSE150794
NCBI BioProject	PRJNA633178	Single-cell RNAseq of Normoxic and OIR mouse retina by Drop-seq	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE150703 (normalized-title similarity 1.000)	GSE150703
NCBI BioProject	PRJNA566356	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol [P19]	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE137705 (normalized-title similarity 1.000)	GSE137705
NCBI BioProject	PRJNA560255	Progenitor cell combination normalizes retinal vascular development by enhancing pericyte ensheathment in the oxygen-induced retinopathy (OIR) model	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE135844 (normalized-title similarity 1.000)	GSE135844
NCBI BioProject	PRJNA548871	Temporo-spatial distribution and transcriptional profile of retinal microglia in the oxygen-induced retinopathy mouse model	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE132731 (normalized-title similarity 1.000)	GSE132731
NCBI BioProject	PRJNA539988	Murine model of oxygen-induced retinopathy - 3 time points [retina]	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE130400 (normalized-title similarity 1.000)	GSE130400
NCBI BioProject	PRJNA537864	Murine model of oxygen-induced retinopathy - 3 time points [blood]	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE130347 (normalized-title similarity 1.000)	GSE130347
NCBI BioProject	PRJNA514455	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE124956 (normalized-title similarity 1.000)	GSE124956
NCBI BioProject	PRJNA483866	Oxygen-Induced Retinopathy RNA-Seq	EXCLUDE_DUPLICATE_COHORT	Same 2013 P17 OIR time-series cohort as PRJNA1347474; older library preparation not counted separately	PRJNA1347474
NCBI BioProject	PRJNA476577	Expression profiling of microRNAs in oxygen-induced retinal neovascularization in mice	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE115949 (normalized-title similarity 1.000)	GSE115949
NCBI BioProject	PRJNA328782	Expressing profiles of small non-coding RNA in mouse models of oxygen-induced retinopathy (OIR)	EXCLUDE	no public SRA experiment records permitting a recoverable P17 Adora2a contrast	
NCBI BioProject	PRJNA299209	Comparative Systems Pharmacology of HIF Stabilization in the Prevention of Retinopathy of Prematurity	EXCLUDE	HIF-stabilizer/PBS pharmacology study; not an OIR-versus-normoxia contrast	
NCBI BioProject	PRJNA168565	Gene Expression Profiling In Murine Retina Neovascularization Models	EXCLUDE	no public SRA experiment records permitting a recoverable P17 Adora2a contrast	
NCBI BioProject	PRJNA122025	Gene Expression Profile of Hyperoxic/hypoxic Retinas in Mouse Model of Oxygen-induced Retinopathy	EXCLUDE	no public SRA experiment records permitting a recoverable P17 Adora2a contrast	
