accession	sample_id	title	organism	source_name	characteristics	treatment_protocol	growth_protocol	extract_protocol	description	data_processing
GSE130347	GSM3736473	mouse_173 P12 normoxia	Mus musculus	Murine blood MNC	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736474	mouse_177 P12 normoxia	Mus musculus	Murine blood MNC	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736475	mouse_179 P12 normoxia	Mus musculus	Murine blood MNC	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736476	mouse_183 P12 normoxia	Mus musculus	Murine blood MNC	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736477	mouse_188 P12 normoxia	Mus musculus	Murine blood MNC	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736478	mouse_197 P12 normoxia	Mus musculus	Murine blood MNC	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736479	mouse_221 P12 normoxia	Mus musculus	Murine blood MNC	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736480	mouse_228 P12 normoxia	Mus musculus	Murine blood MNC	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736481	mouse_90 P12 normoxia	Mus musculus	Murine blood MNC	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736482	mouse_29 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736483	mouse_48 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736484	mouse_115 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736485	mouse_123 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736486	mouse_133 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736487	mouse_175 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736488	mouse_182 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736489	mouse_185 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736490	mouse_190 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736491	mouse_192 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736492	mouse_195 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736493	mouse_210 P17 hyperoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736494	mouse_76 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736495	mouse_84 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736496	mouse_146 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736497	mouse_202 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736498	mouse_205 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736499	mouse_239 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736500	mouse_254 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736501	mouse_256 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736502	mouse_264 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736503	mouse_274 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736504	mouse_279 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736505	mouse_284 P17 normoxia	Mus musculus	Murine blood MNC	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736506	mouse_28 P28 hyperoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736507	mouse_32 P28 hyperoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736508	mouse_45 P28 hyperoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736509	mouse_49 P28 hyperoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736510	mouse_96 P28 hyperoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736511	mouse_100 P28 hyperoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736512	mouse_116 P28 hyperoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736513	mouse_122 P28 hyperoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736514	mouse_138 P28 hyperoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736515	mouse_142 P28 hyperoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736516	mouse_37 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736517	mouse_41 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736518	mouse_65 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736519	mouse_69 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736520	mouse_75 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736521	mouse_85 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736522	mouse_89 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736523	mouse_108 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736524	mouse_112 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736525	mouse_204 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130347	GSM3736526	mouse_208 P28 normoxia	Mus musculus	Murine blood MNC	age: day 28 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned .within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737500	retina_23 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737501	retina_31 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737502	retina_46 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737503	retina_113 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737504	retina_153 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737505	retina_173 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
