accession	title	summary	overall_design	pubmed_id	relation	supplementary_file
GSE152928	A specific RIP3+ subpopulation of microglia promotes retinopathy through a hypoxia-triggered necroptotic mechanism	To elucidate the classification and function of microglia subsets in the angiogenic retina, we used single-cell RNA sequencing on isolated retinal microglia. We identified a novel subpopulation of microglia named sMG2, which highly expressed necroptosis-related genes Rip3 and Mlkl.	Single cell profiling of retinal microglia from normal and oxygen-induced retinopathy mice, using 10X genomic platform.	33836603	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA641006 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP268250	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152928/suppl/GSE152928_RAW.tar
GSE158799	C57Bl6J retina lysates in oxygen-induced retinopathy	Schemic retinopathies such as diabetic retinopathy (DR) and retinopathy of prematurity (ROP), are the main causes of blindness in working age and pediatric populations in industrialized countries. It is estimated that close to 100 million individuals worldwide suffer from DR and 15 million preterm infants born each year are predisposed to ROP. Regrettably, relatively little is known of the cellular processes at play during late stages of pathological angiogenesis in these diseases and consequently current standards of care target all neovascularization. Oxygen-induced retinopathy (OIR) allows to reproduce experimentally in the mouse retina the pathological features observed in human pathological retina such as ischemic avascular regions as well as epi-retinal neovascularization. Using agnostic and orthogonal approaches, in our work we demonstrate that in contrast to healthy blood vessels, pathological vessels engage pathways of cell cycle arrest, resulting in cellular senescence. These findings combined with further genetic and pharmacological approaches provide mechanistic evidence supporting that targeting selectively senescent vessels in DR represents a potential treatment for neovascular retinal disease.	6 samples were analyzed: control postnatal 14 (2 replicates), OIR postnatal 14 (2 replicates), control postnatal 17 (3 replicates), OIR postnatal 17 (3 replicates), control postnatal 30 (3 replicates), OIR postnatal 30 (3 replicates)	33548171;32820093	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA666571 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP285886	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158799/suppl/GSE158799_RAW.tar
GSE174400	Single-cell RNAseq by Dropseq of retinal endothelial cells from WT and ENOS KO mouse	We report the generation of single-cell RNAseq data obtained using Drop-seq from endothelial-enriched retinal cell suspension. Single-cell suspension were enriched using CD-31 antibody coated magnetic beads, and processed for encapsulation and library preparation as in Macosko et al (Cell 2015) based on the Drop-seq procedure.	Retinas were digested as in Macosko et al (Cell 2015), and single-cell suspensions were prepared from P14 OIR eNOS+/+ (C57BL/6) and eNOS-/- mouse retinas (n=3 replicates per genotype, with 3-5 retina pooled per replicate). The final EC suspension was obtained by positive enrichment using beads coated with CD31 antibodies and magnetic columns. For single-cell RNA-seq of ECsendothelial-enriched retinal cell suspension, droplet generation and cDNA libraries were performed as described in the Drop-seq procedure (http://mccarrolllab.org/dropseq/), and sequencing was carried out on an Illumina NextSeq 500 at an estimated read depth/cell similar to that used by Macosko et al. (i.e., 50,000 reads/cell). Unique molecular identifier (UMI) counts associated with aligned reads (kb-python, GRCm38 reference genome) from the scRNA-seq replicates of eNOS+/+ and eNOS-/- retina were merged into one single digital gene expression (DGE) matrix and processed using the “Seurat” package (spatial reconstruction of single-cell gene expression data [28]). Cells expressing fewer than 100 genes and more than 10% of mitochondrial genes were filtered out. Single-cell transcriptomes were normalized by dividing by the total number of UMIs per cell and then multiplying by 10,000. All calculations and data were then performed in log space [i.e., ln(transcripts per 10,000 + 1)].  After integrating of the different biological replicates using the Seurat anchor integration algorithm, the 20 most significant components were used as input for dimensionality reduction and clustering. To identify putative cell types from the Uniform Manifold Approximation and Projection (UMAP) dimensional reductions, a graph-based clustering approach using K-nearest neighbor graph and the Louvain algorithm was used to define clusters and average gene expression was computed for each of the identified cluster based on Euclidean distances.  Marker genes that were significantly enriched for each cluster were then identified, allowing cluster annotation to specific cell types. A similar computational approach was performed on non-integrated RNA data to sub-cluster the population of ECs, allowing us to define 3 cell subtypes based on marker genes. After removing the contaminant cell cluster (i.e., red blood cells and retinal pigmented epithelium), a total of 3031 cells were obtained from eNOS+/+ retina (including 2044 ECs) and 5913 cells from eNOS-/- retina (including 3334 ECs).	34971428;40562775	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA729749 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP319698	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174400/suppl/GSE174400_Seurat_object.RNAcounts_P14retina_ENOSproject.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174400/suppl/GSE174400_Seurat_object.metadata_P14retina_ENOSproject.txt.gz
GSE194176	Expression profiles of mRNAs in the retinas of OIR wildtype, OIR IL-19 knockout and room air control mice.	Seven-day-old C57BL/6 mice and IL-19 knockout (KO) mice were subjected to 75% oxygen for 5 days to induce OIR. To explore the mechanism that caused by IL-19 on retinal neovascularization, Gene expressions among retinas of room air control mice, OIR wildtype mice, and OIR IL-19 knockout mice were measured by RNA-sequencing (RNA-seq).	Retinal mRNA profiles of 17-day old oxygen-induced retinopathy (OIR) wild-type (WT), OIR IL-19 knockout (KO) and room air (RA) WT mice.	35816041;39948347	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA799358	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194176/suppl/GSE194176_All_gene_fpkm.txt.gz
GSE19886	Gene Expression Profile of Hyperoxic/hypoxic Retinas in Mouse Model of Oxygen-induced Retinopathy	Retinal ischemia is believed to initiate a series of events that leads to retinal neovascularization observed in several retinal diseases such as diabetetic retinopathy and retinal vein occlusion. Although some molecules such as VEGF and MCP-1 have been implicated in the process, its underlying mechanisms remain elusive. In order to identify genes associated with retinal ischemia, we performed gene expression analyses in retinas of mouse model of oxygen-induced retinopathy using DNA microarray technology.	C57BL/6N pups were placed in a 75% oxygen environment on postnatal day 7 (P7) for 5 days and then returned to room air.  Retinas were removed from mice at 0 (P12), and 12 hours (P12.5) after ischemia. To isolate sufficient total RNA for labeling protocols, 2 retinas from one mouse were pooled. The results of three experiments for each condition (biological replicates) were used for the statistical analyses.	20220049	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA122025	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19886/suppl/GSE19886_raw_data.txt.gz
GSE199792	Single-cell Transcriptome Analyses Reveal Unique Microglia Types Associated with Retinal Pathological Angiogenesis	We used single cell RNA-seq to comprehensively map all retinal microglia populations in a mouse model of oxygen-induced PR. We unveiled several unique types of PR-associated microglia (PRAM) and identified markers, signaling pathways, and regulons associated with these cells. Among these microglial subpopulations, we found a highly proliferative subset of cells with a high self-renewal capacity and a subset of cells with hypermetabolism that expresses high levels of activating microglia markers, glycolytic enzymes, and pro-angiogenic insulin-like growth factor 1. Immunohistochemical staining shows that PRAMs were spatially located within neovascular tufts. These unique microglial subtypes have the potential to promote retinal angiogenesis, which may have important implications for the future treatment of PR and other ocular diseases characterized by pathological angiogenesis.	The objective of this study was to investigate heterogeneity of mononuclear phagocytes (MPs) recruited to areas of neovascularization that drive aberrant retinal angiogenesis in proliferative retinopathies (PRs). We first generated a mouse model of oxygen-induced retinopathy (OIR). We collected retinas from OIR mice and control room air (RA) mice. We sorted out F4/80 and CD11b positive cells and performed scRNAseq of these cells. We identified two unique PR-associated microglia (PRAM) subtypes. We analyzed detailed gene signatures, signaling pathways, transcription factor regulons, transcriptional dynamics, and metabolic characteristics in PRAM. Further we unraveled the spatial location of PRAM adjacent to pathological neovascularization tufts by immunostaining mouse whole mounts of retinas with fluorescent antibodies. Collectively, our study provides a comprehensive perspective that defines the contributions of retinal microglia to PR at the single-cell level.	36264636	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA821499	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199792/suppl/GSE199792_RAW.tar
GSE200195	Transcriptome analysis of the oxygen induced retinopathy (OIR) model at 5 different timepoints	High-throughput sequencing of murine retina of the oxygen induced retinopathy (OIR) model compared to control mice at 5 consecutive days (P12-P16)	Acoording to the standard OIR model, mice were kept for 5 days under hyperoxic conditions and returned to normoxic conditions at P12. Starting from P12, retinae were collected from 5 consecutive days (P12, P13, P14, P15, P16).		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA823657	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200195/suppl/GSE200195_OIR_counts.txt.gz
GSE209654	Effect of Caspase1 deletion on oxygen-induced retinopathy in C57BL/6 mice	To investigate the expression profile of genes involved in oxygen-induced retinopathy (OIR) and the effect of caspase1 deletion on those genes in retina.	C57BL/6 and Caspase1 mice were exposed to normoxia and 3 day hypoxia (3 day post OIR) and then eyes were enucleated and retinas isolated. The RNA was isolated from retina and then gene expression profiling was performed using 3 prime RNA sequencing.	37179352	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA862060	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE209nnn/GSE209654/suppl/GSE209654_Count.txt.gz
GSE213362	Profiles of N6-methyladenosine modifications of circular RNAs in oxygen-induced retinopathy	To identify the N6-methyladenosine (m6A) modified circular RNAs (circRNAs) involved in a mouse model of oxygen-induced retinopathy (OIR), microarray analysis was performed with the retinal samples from OIR mice and Room air controls.	Arraystar Mouse m6A-circRNA Epitranscriptomic microarray was performed to identify the m6A modification profiles of circRNAs in the retinas of OIR and control mice.		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA880599	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213362/suppl/GSE213362_Matrix.xlsx | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213362/suppl/GSE213362_RAW.tar
GSE216676	Metabolic reprogramming of the neovascular niche promotes regenerative angiogenesis in proliferative retinopathy	Healthy blood vessels supply neurons to preserve metabolic function. In blinding proliferative retinopathies (PRs), pathological neovascular tufts often emerge in lieu of needed physiological revascularization. Here we show that metabolic shifts in the neovascular niche define angiogenic fate. Fatty acid oxidation (FAO) metabolites accumulated in human and murine retinopathy samples. Neovascular tufts with a distinct single-cell transcriptional signature highly expressed FAO enzymes. The deletion of Sirt3, an FAO regulator, shifted the neovascular niche metabolism from FAO to glycolysis and suppressed tuft formation. This metabolic transition increased Vegf expression in astrocytes and reprogrammed pathological neovessels to a physiological phenotype, hastening vascular regeneration of the ischemic retina and improving vision. Hence, strategies to change the metabolic environment of vessels could promote a regenerative phenotype in vascular diseases.	WT and Sirt3 KO mice pups and their adoptive lactating S129 mother were exposed to 75% oxygen from P7 to P12. Mice were returned to room air at P12 until used for experimentation. At the endpoints (P14 and P17), retina were dissociated, and CD31-enriched single-cell suspensions were used for scRNA-Seq analysis (Drop-Seq).	40562775	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA894955	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216676/suppl/GSE216676_RAW.tar
GSE227350	RNA sequencing of sorted P17 murine endothelial cells from the OIR model with OSM or PBS intravitreal injection at P12	IL-6 family cytokines as OSM modify angiogenesis to different degree. This study investigates the influence of intravitreal injection of OSM on the formation of neovascularization in the mice model of Oxygen-induced retinopathy (OIR). Mice at P12 were injected OSM or PBS , retinal cells isolated at P17 via sort and the transcriptome analyzed by RNA sequencing.	C57BL/6 mice were used for the established OIR model. Data consists of 5 OSM (Oncostatin M) and 6 PBS treated mice from three independent litters and OIR runs. M1-4, M5-8 and M9-11 are each from one litter and OIR run.	38190125	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA944689	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227350/suppl/GSE227350_RAW.tar
GSE227861	Single-cell RNAseq analysis of wild type and Socs3 cKO retinal immune cells	Myeloid SOCS3 deficiency leads to increased retinal neovascularization in an oxygen-induced retinopathy mouse model. To investigate the role of SOCS3 in the function of myeloid lineage cells, particular microglia during retinopathy, total immune cells were sorted from wildtype and myeloid Socs3 knockout mice with retinopathy applied for single-cell RNAseq analysis by 10X Genomics technology.	scRNA-seq was performed for immune cells isolated from retinas of 6 KO and 6 sex-matched WT mice with or without oxygen-induced retinopathy (at postnatal day 13), using FACS. Total 1,200~2,500 cells were sequenced to an average of 65,00-118,000 reads/cell.	38504518	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA947200	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227861/suppl/GSE227861_RAW.tar
GSE230668	Effects of inhibitors in mice with oxygen-induced retinopathy	Analysis of gene expression changes in oxygen-induced retinopathy mice treated intravitreally with inhibitors. | oxygen-induced retinopathy(OIR)mice  is one of the experimental systems that mimic retinal ischemic diseases. This model is widely used as an evaluation system for various surgical procedures.	Genes that increased in oxygen-induced retinopathy(OIR) and reverted to their original state with ISOX DUAL were extracted.		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA962098	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230668/suppl/GSE230668_RAW.tar
GSE234447	Transcriptional Comparison of Human and Murine Retinal Neovascularization	Background: Retinal neovascularization (RNV) as a result of retinal ischemia, such as in proliferative diabetic retinopathy (PDR) and retinopathy of prematurity (ROP), can lead to vitreous hemorrhage, tractional retinal detachment, and irreversible loss of vision if left untreated. Although panretinal laser photocoagulation and anti-vascular endothelial growth factor (VEGF) injections are efficient treatment modalities, a significant number of patients do not respond to either treatment. This clinical finding suggests that other, previously unrecognized mediators and signaling pathways may contribute to RNV development and could represent valuable targets for future treatments.  Methods: In search of phylogenetically conserved angiogenic mediators, we examined the transcriptional profile of murine RNV from C57BL/6J mice (n=14) in the oxygen-induced retinopathy (OIR) model as well as human RNV membranes from PDR patients (n=7), who had undergone vitrectomy and compared them with corresponding control tissues (n=13, 10 respectively). Genes that were differentially expressed (DEGs) between RNV and control samples were identified for human and murine samples and their associated gene ontology (GO) clusters analyzed. Lastly, human and murine DEGs were compared to identify phylogenetically conserved factors.  Findings: Transcriptional profiles of murine RNV showed that DEGs linked to the activation of the innate immune system (Msn, Cd34), extracellular matrix organisation (Col4a1, Gfap), and regulation of angiogenesis (Col4a2, Fgf2) were significantly upregulated both at the ischemic, preproliferative stage of the disease (OIR p14) as well as at the proliferative stage (OIR p17). While similar GO terms were upregulated in human RNV, only a small overlap in DEGs between both species was detected. Phylogenetically conserved mediators upregulated in both murine and human RNV included ANGPT2, S100A8, MCAM, EDNRA, MRC1, and CCR7.  Interpretation: This study identifies phylogenetically conserved inflammatory and pro-angiogenic mediators that are significantly upregulated in both murine and human RNV. Among them, MCAM, ENDRA and MRC1 emerged as the most upregulated, phylogenetically conserved DEGs not yet implicated in human RNV, thus representing potential new treatment targets for ischemic retinal diseases.	Retinal tissue from the OIR mouse model from the following groups: nonOIR p14 (n=7), nonOIR p17 (n=6), OIR p14 (n=6), and OIR p17 (n=8).	38153746	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA981457	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234447/suppl/GSE234447_normal_data_mouse_OIR.csv.gz
GSE241239	RNA-sequencing of the oxygen induced retinopathy (OIR) model in C57BL/6 mice	Pathological retinal angiogenesis is one of the major causes of vision loss worldwide. The breakdown of blood vessels and aberrant vessels growth usually lead to hemorrhage, macular edema, fibrotic scar, and retinal detachment. OIR model serves as a proxy for human pathological retinal neovascularization such as proliferative diabetic retinopathy, retinal vein occlusion and retinopathy of prematurity. C57BL/6 mice were exposed to 75% O2 in a hyperoxic chamber from postnatal day P7 to P12 and then returned to room air. The greatest neovascular response occurred at postnatal 17 days (P17) when the mice are put back to room air condition for 5 days. In order to reveal potential genes that involve in pathological neovascularization, we performed transcriptomic analyses of retina of P17.	12 samples were analyzed: normoxic mice postnatal 17 (6 replicates), OIR mice postnatal 17 (6 replicates)		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1006773	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241239/suppl/GSE241239_Gene_FPKM.txt.gz
GSE245456	CUT&Tag of oxygen-induced retinopathy mouse retina	c-Fos and c-Jun form activator protein 1 (AP-1) transcription factors that regulate gene expression by binding to specific motifs on the genome. To investigate c-Fos regulating genes in OIR rod photoreceptor cells, we performed CUT&Tag subjecting normoxia P14 and OIR P14 retina using c-Fos, H3K27ac (enhancer maker), H3K4me3 (active promoter maker), and H3K27me3 ( gene repression maker) antibodies.	CUT&Tag DNA-sequencing (CUT&Tag) for transcription factor c-Fos, and Control IgG as well as Histone modification H3K4me3, H3K27me3, and H3K27ac.	38483712	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1028541	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245456/suppl/GSE245456_RAW.tar
